"Prevalence","Temperature","Our Prediction","Nguyen's Prediction"
0.18,24.5,0.988543311326057,0.717475071542748
0.05,23.4704401388108,0.951814265958301,0.876521104302755
0.5,24.6000003814697,0.990797928625603,0.700257677398299
0.02,23.1000003814697,0.932964537687113,0.921284618284522
0.03,23.7000007629395,0.962060210477239,0.844876177542544
0.02,22.8999996185303,0.92165679711198,0.94177806412894
0.03,22.7000007629395,0.909598117431544,0.959431140458774
0,22.1020541017843,0.869413555116466,0.993673577087033
0,22,0.861985471550514,0.996582086326622
0.08,23.1000003814697,0.932964537687113,0.921284618284522
0.02,22.1000003814697,0.869265614432959,0.993740772712363
0,21.3999996185303,0.815392787740493,0.995711076540655
0.12,22.5,0.896822645529059,0.974068935323592
0,21.5,0.823480299902405,0.997993069174642
0.01,20.7000007629395,0.755781594215645,0.956639014429361
0.01,22.1000003814697,0.869265614432959,0.993740772712363
0.76,23.2000007629395,0.938326410479978,0.910034600018127
0.04,20.7000007629395,0.755781594215645,0.956639014429361
0.03,20.8999996185303,0.773298342819815,0.971800367085645
0.17,22.4961783293706,0.896571781951064,0.974318266481871
0,20.3999996185303,0.728904764375077,0.92835022025916
0.09,22.7999992370605,0.915719163802347,0.950971289581424
0.81,22.3999996185303,0.89017725505922,0.98020992205638
0,21.2043000603937,0.799231199409798,0.988804288173606
0,21.5,0.823480299902405,0.997993069174642
0,20.3999996185303,0.728904764375077,0.92835022025916
0,20.2000007629395,0.710644529810996,0.906064932510926
0,19.5,0.64519498448556,0.810020437052398
0,20.5,0.737937203296701,0.938489935670927
0,19.2999992370605,0.62621347240929,0.77846822508295
0.04,21.7000007629395,0.839283750017464,0.999997279068054
0.25,21.7999992370605,0.846989594240539,0.999714360050011
0,19.2999992370605,0.62621347240929,0.77846822508295
0,19.3999996185303,0.635713645487749,0.794428129716227
0.01,19.6584670581757,0.660169895285932,0.833892644918312
0.03,21.2999992370605,0.807188090163733,0.992582905196987
0,19.7000007629395,0.664082731471834,0.839965834114077
0,20.5,0.737937203296701,0.938489935670927
0,19.0926521106269,0.606474760495651,0.744353931150742
0,18,0.502974527986344,0.55306796455267
0,19.1000003814697,0.607174894876475,0.74558394869392
0,19.1000003814697,0.607174894876475,0.74558394869392
0.02,19.1000003814697,0.607174894876475,0.74558394869392
0.05,18.2999992370605,0.5311432154245,0.606211727486656
0,18.7999992370605,0.578586951587248,0.694363813024215
0.03,20.1956668780282,0.71024617568548,0.905553610898373
0,18,0.502974527986344,0.55306796455267
0,19.2000007629395,0.616699183921905,0.762175503072895
0.02,19.2999992370605,0.62621347240929,0.77846822508295
0.01,20.3999996185303,0.728904764375077,0.92835022025916
0,20.1292609432503,0.704129315212997,0.897574102725847
0.03,21,0.781921390157428,0.978212120503699
0,19.2000007629395,0.616699183921905,0.762175503072895
0.1,18,0.502974527986344,0.55306796455267
0.1,18.7999992370605,0.578586951587248,0.694363813024215
0,18.7999992370605,0.578586951587248,0.694363813024215
0.09,18.3999996185303,0.540592726593424,0.623967033303448
0,18.6987125132587,0.568944502307208,0.676697642472321
0,18.7999992370605,0.578586951587248,0.694363813024215
0.01,19.3999996185303,0.635713645487749,0.794428129716227
0.01,19.2999992370605,0.62621347240929,0.77846822508295
0,18.1000003814697,0.512330477535462,0.570732873416079
0,19.2000007629395,0.616699183921905,0.762175503072895
0,18.5,0.550065836287347,0.641691956518573
0.02,19.5,0.64519498448556,0.810020437052398
0.15,18.8999996185303,0.588114459765526,0.711643679300378
0,18.2520193552932,0.526618877869388,0.597691089665646
0,18.443597839949,0.544720145926647,0.631700337126589
0,19.5,0.64519498448556,0.810020437052398
0,20.3999996185303,0.728904764375077,0.92835022025916
0.04,18.7000007629395,0.569067077083165,0.676923227457694
0.01,20.1000003814697,0.701426466593773,0.893973147169368
0.02,18.7000007629395,0.569067077083165,0.676923227457694
0.02,17.5,0.456841820896583,0.466575013214831
0.03,18.1306325890836,0.51520355268538,0.576157223123882
0,19.5,0.64519498448556,0.810020437052398
0.26,17.3988623611326,0.447665245946697,0.449624640914425
0.02,18.131656346383,0.515299628905359,0.576338596870853
0,19.2840645208591,0.624698215346573,0.775893403612938
0.19,18.8999996185303,0.588114459765526,0.711643679300378
0.04,18.2999992370605,0.5311432154245,0.606211727486656
0.1,17.4341460902516,0.450860037886453,0.455512352505419
0.01,17.8905686882453,0.492780484478012,0.533838260726013
0.04,15.6081172645866,0.2976175999035,0.201936555722279
0,20.9882544413282,0.780913499440083,0.977500277426784
0.13,17.9998368672407,0.502959295918112,0.553039211380391
0.04,19.8999996185303,0.682839155717082,0.868035918804617
0.01,15.551465748964,0.293332096466125,0.196005721797973
0.12,17.6000003814697,0.46597082162206,0.483545844676539
0.02,18.8999996185303,0.588114459765526,0.711643679300378
0.25,16.5,0.369075208689255,0.311372763330257
0,21.2999992370605,0.807188090163733,0.992582905196987
0,22.5,0.896822645529059,0.974068935323592
0,22.442156642091,0.892999211745923,0.977718570581377
0,19.5,0.64519498448556,0.810020437052398
0.18,24.1000003814697,0.977143943927914,0.783932724138533
0,20.7000007629395,0.755781594215645,0.956639014429361
0.07,20.2999992370605,0.719805492321835,0.917533035261917
0,21.2999992370605,0.807188090163733,0.992582905196987
0,17.1137259240244,0.422125633215866,0.403171327865453
0.05,21.5972225930956,0.831226052088306,0.999394849507328
0.06,16.2000007629395,0.344236265614896,0.271223647353038
0.06,19.7000007629395,0.664082731471834,0.839965834114077
0.07,17.2000007629395,0.429799016740684,0.417002924708594
0.21,16.8999996185303,0.403334391859457,0.369832593831849
0.13,17.1000003814697,0.420909403677439,0.400989950586475
0,21.6000003814697,0.831445616533929,0.999423027882508
0.03,17.6000003814697,0.46597082162206,0.483545844676539
0.02,21.2000007629395,0.798871394815349,0.988616650532033
0.09,18.2000007629395,0.521721329429104,0.588457242503123
0.14,18.2546491949632,0.526866691949758,0.598158057403237
0,17.8999996185303,0.493657087655099,0.535490485453051
0.01,19.3999996185303,0.635713645487749,0.794428129716227
0.08,18.5740561117288,0.557094127579151,0.654780093127223
0.04,18.2000007629395,0.521721329429104,0.588457242503123
0,23.7566510092449,0.964413388739707,0.836662568807764
0.08,17.7999992370605,0.484381680903884,0.518027307303831
0,19,0.59764520279099,0.728728497302449
0.03,18.8999996185303,0.588114459765526,0.711643679300378
0.01,21.7000007629395,0.839283750017464,0.999997279068054
0.12,19.5,0.64519498448556,0.810020437052398
0,23,0.927406643383529,0.931874387974679
0.06,17.2000007629395,0.429799016740684,0.417002924708594
0.02,21.7999992370605,0.846989594240539,0.999714360050011
0.02,19.1021280491606,0.607377611122822,0.745939830821557
0,18.6082105934131,0.560338745737152,0.660801223399582
0,23.2000007629395,0.938326410479978,0.910034600018127
0.02,19.7999992370605,0.673479614243977,0.854251534021066
0,19.2000007629395,0.616699183921905,0.762175503072895
0.06,18.2000007629395,0.521721329429104,0.588457242503123
0.08,17.6000003814697,0.46597082162206,0.483545844676539
0.09,19.5397374258057,0.648956363722585,0.816106735493689
0.16,19.8999996185303,0.682839155717082,0.868035918804617
0.13,17.7000007629395,0.475151924151313,0.500704476128379
0.07,21.2999992370605,0.807188090163733,0.992582905196987
0.28,20.0202640489456,0.694038837406817,0.883904153361484
0.34,18.6000003814697,0.559558619916533,0.659354821183712
0.11,23.0730265943628,0.93148450700487,0.92420719999623
0,23.2999992370605,0.943488195852116,0.898151793458367
0.1,17.9337723997515,0.496799307650523,0.541415400271505
0.09,22.4909835721626,0.896230387380477,0.974655325047912
0.15,18.9886142428559,0.596560031824725,0.726794194574243
0.11,20.875452572667,0.771167396397537,0.970105758721119
0.09,17.2999992370605,0.438752778528405,0.43328338874914
0.02,18.6000003814697,0.559558619916533,0.659354821183712
0.09,17.5727725548319,0.46347990543738,0.478905520853771
0.15,16.85460492498,0.399385001090268,0.362931466891905
0.2,23.3999996185303,0.948446226256156,0.885664245801806
0.18,17.7999992370605,0.484381680903884,0.518027307303831
0.1,18,0.502974527986344,0.55306796455267
0.16,21.8436357671564,0.850309541293969,0.999322380327344
0.06,20.1000003814697,0.701426466593773,0.893973147169368
0.67,19.4085946926401,0.636529375264304,0.795783223218507
0.05,19.4190394262604,0.637520458637925,0.797426245995482
0.09,19.7999992370605,0.673479614243977,0.854251534021066
0.08,19.5228098624994,0.647354541904731,0.813521955656959
0.17,22.1276037925531,0.87124867555139,0.992807980249996
0.07,18.6896218106617,0.56807959284822,0.675105177359222
0.13,18.2000007629395,0.521721329429104,0.588457242503123
0.38,19.5,0.64519498448556,0.810020437052398
0.03,20.6000003814697,0.746897817340504,0.947927307108327
0.21,20.2000007629395,0.710644529810996,0.906064932510926
0.09,19.7000007629395,0.664082731471834,0.839965834114077
0.09,19.7000007629395,0.664082731471834,0.839965834114077
0.55,20.7999992370605,0.764583337936008,0.964603243040123
0.52,22.7538078889152,0.912914273377683,0.95497150306505
0.05,23.1000003814697,0.932964537687113,0.921284618284522
0.022,24.7999992370605,0.994577522850329,0.665339247688168
0.022,24.7999992370605,0.994577522850329,0.665339247688168
0.022,24.7999992370605,0.994577522850329,0.665339247688168
0,24.7999992370605,0.994577522850329,0.665339247688168
0.025,24.7999992370605,0.994577522850329,0.665339247688168
0.025,24.7999992370605,0.994577522850329,0.665339247688168
0.16,24.7999992370605,0.994577522850329,0.665339247688168
0,20.5,0.737937203296701,0.938489935670927
0,20.5,0.737937203296701,0.938489935670927
0,20.8999996185303,0.773298342819815,0.971800367085645
0,20.8999996185303,0.773298342819815,0.971800367085645
0.01,21.2999992370605,0.807188090163733,0.992582905196987
0.02,22,0.861985471550514,0.996582086326622
0.024,18.7000007629395,0.569067077083165,0.676923227457694
0.095,21.7999992370605,0.846989594240539,0.999714360050011
0.091,19.017792489619,0.599340966773835,0.731745254127538
0.04,21.8999996185303,0.854558514755111,0.998574987420242
0.38,21.5,0.823480299902405,0.997993069174642
0.38,21.5,0.823480299902405,0.997993069174642
0.45,25.2999992370605,0.999691151518245,0.576752839172692
0,25.4990033184571,0.999976726922062,0.541629297951098
0.235,25.5,0.999975629310931,0.541454255446147
0.235,25.5,0.999975629310931,0.541454255446147
0.31700001,25.5,0.999975629310931,0.541454255446147
0.41400002,25.5,0.999975629310931,0.541454255446147
0.41400002,25.5,0.999975629310931,0.541454255446147
0.41700001,25.5,0.999975629310931,0.541454255446147
0,25.5,0.999975629310931,0.541454255446147
0.115,25.5,0.999975629310931,0.541454255446147
0.115,25.5,0.999975629310931,0.541454255446147
0.33299999,25.5,0.999975629310931,0.541454255446147
0,25.5,0.999975629310931,0.541454255446147
0.068,25.5,0.999975629310931,0.541454255446147
0.60099998,25.5,0.999975629310931,0.541454255446147
0.55,25.5,0.999975629310931,0.541454255446147
0.71,25.5,0.999975629310931,0.541454255446147
0.16700001,25.5,0.999975629310931,0.541454255446147
0.138,25.5,0.999975629310931,0.541454255446147
0.005,25.3999996185303,0.999960103387399,0.55906452627705
0.52,25.3999996185303,0.999960103387399,0.55906452627705
0.021,22.3999996185303,0.89017725505922,0.98020992205638
0.75,25.5,0.999975629310931,0.541454255446147
0.17299999,25.5,0.999975629310931,0.541454255446147
0.17299999,25.5,0.999975629310931,0.541454255446147
0.34900002,25.2000007629395,0.999169537693277,0.594490526470602
0.085,25.3999996185303,0.999960103387399,0.55906452627705
0.088,25.5,0.999975629310931,0.541454255446147
0.30799999,22.5,0.896822645529059,0.974068935323592
0.77099998,25.5,0.999975629310931,0.541454255446147
0.49400002,25.5,0.999975629310931,0.541454255446147
0.071,19.8999996185303,0.682839155717082,0.868035918804617
0,20.5,0.737937203296701,0.938489935670927
0.02,22.4983416188811,0.896713815964499,0.974177272423594
0,22.5,0.896822645529059,0.974068935323592
