"Longitude","Latitude","MAT","R_not","Rate_of_increase"
6.39994366,36.92794382,18.15,1.9031947186096,0.345646090471607
6.81519529,36.92794382,18.45,2.00738095252734,0.348671858052541
7.23044692,36.92794382,18.65,2.07726002466848,0.349971624791223
7.64569855,36.92794382,18.95,2.18241660231972,0.350790032688231
8.47620182,36.92794382,18.15,1.9031947186096,0.345646090471607
8.89145345,36.92794382,17.95,1.83432230305351,0.342945307041376
9.30670508,36.92794382,18.65,2.07726002466848,0.349971624791223
9.72195671,36.92794382,18.65,2.07726002466848,0.349971624791223
10.13720835,36.92794382,18.65,2.07726002466848,0.349971624791223
10.96771161,36.92794382,18.7500000000001,2.11228228480952,0.350397921122792
1.41692408,36.5118873,17.65,1.73215675788046,0.337928989568859
1.83217571,36.5118873,18.35,1.97255358839302,0.347803905231814
2.24742734,36.5118873,16.85,1.46871596662934,0.319489466937828
2.66267897,36.5118873,16.55,1.37412922813532,0.310924328061901
3.0779306,36.5118873,17.15,1.56574722506484,0.327203180550128
3.49318224,36.5118873,16.7500000000001,1.43690293543647,0.316724671434179
3.90843387,36.5118873,17.65,1.73215675788046,0.337928989568859
4.3236855,36.5118873,17.15,1.56574722506484,0.327203180550128
4.73893713,36.5118873,15.65,1.10732649240736,0.280998891544204
5.15418876,36.5118873,15.85,1.1642444839702,0.288121971836475
5.5694404,36.5118873,16.15,1.2522309954888,0.298331917225614
5.98469203,36.5118873,15.55,1.0794075933188,0.277351925037639
6.39994366,36.5118873,16.55,1.37412922813532,0.310924328061901
6.81519529,36.5118873,16.45,1.34318616684717,0.307895307749551
7.23044692,36.5118873,17.2500000000001,1.59858853421946,0.32957000428713
7.64569855,36.5118873,17.05,1.5331478981693,0.324731981804494
8.06095019,36.5118873,17.2500000000001,1.59858853421946,0.32957000428713
8.47620182,36.5118873,17.45,1.66495437692809,0.333977583644174
8.89145345,36.5118873,17.65,1.73215675788046,0.337928989568859
9.30670508,36.5118873,18.35,1.97255358839302,0.347803905231814
9.72195671,36.5118873,18.2500000000001,1.93782017156049,0.346794349348479
10.13720835,36.5118873,18.05,1.86869095354277,0.3443620780752
10.55245998,36.5118873,18.65,2.07726002466848,0.349971624791223
0.58642081,36.09583078,18.65,2.07726002466848,0.349971624791223
1.00167245,36.09583078,18.2500000000001,1.93782017156049,0.346794349348479
1.41692408,36.09583078,16.55,1.37412922813532,0.310924328061901
1.83217571,36.09583078,16.65,1.40537103239506,0.313868536772066
2.24742734,36.09583078,14.05,0.70702759672507,0.218013759878399
2.66267897,36.09583078,15.45,1.05185610736169,0.273652189519691
3.0779306,36.09583078,15.45,1.05185610736169,0.273652189519691
3.49318224,36.09583078,16.2500000000001,1.28222922020534,0.301595856122553
3.90843387,36.09583078,17.15,1.56574722506484,0.327203180550128
4.3236855,36.09583078,16.65,1.40537103239506,0.313868536772066
4.73893713,36.09583078,12.65,0.442236683814302,0.160572966492745
5.15418876,36.09583078,13.65,0.623130438749478,0.201462059201685
5.5694404,36.09583078,15.7500000000001,1.13560737166834,0.284589957599838
5.98469203,36.09583078,15.55,1.0794075933188,0.277351925037639
6.39994366,36.09583078,15.95,1.19323176607475,0.291591764234322
6.81519529,36.09583078,14.95,0.919778302572297,0.254470056054723
7.23044692,36.09583078,15.7500000000001,1.13560737166834,0.284589957599838
7.64569855,36.09583078,15.55,1.0794075933188,0.277351925037639
8.06095019,36.09583078,16.65,1.40537103239506,0.313868536772066
8.47620182,36.09583078,17.05,1.5331478981693,0.324731981804494
8.89145345,36.09583078,16.85,1.46871596662934,0.319489466937828
9.30670508,36.09583078,16.95,1.50080082876574,0.322159658006083
9.72195671,36.09583078,18.2500000000001,1.93782017156049,0.346794349348479
10.13720835,36.09583078,18.35,1.97255358839302,0.347803905231814
-5.64235366,35.67977426,16.95,1.50080082876574,0.322159658006083
-5.22710203,35.67977426,17.05,1.5331478981693,0.324731981804494
-0.65933408,35.67977426,18.85,2.14733960881964,0.350671587878715
-0.24408245,35.67977426,18.85,2.14733960881964,0.350671587878715
0.17116918,35.67977426,17.85,1.80010189218622,0.341398813663574
0.58642081,35.67977426,18.85,2.14733960881964,0.350671587878715
1.00167245,35.67977426,17.85,1.80010189218622,0.341398813663574
1.41692408,35.67977426,16.15,1.2522309954888,0.298331917225614
1.83217571,35.67977426,15.65,1.10732649240736,0.280998891544204
2.24742734,35.67977426,14.65,0.845221081576671,0.242523054583277
2.66267897,35.67977426,16.85,1.46871596662934,0.319489466937828
3.0779306,35.67977426,16.2500000000001,1.28222922020534,0.301595856122553
3.49318224,35.67977426,16.55,1.37412922813532,0.310924328061901
3.90843387,35.67977426,17.65,1.73215675788046,0.337928989568859
4.3236855,35.67977426,17.65,1.73215675788046,0.337928989568859
4.73893713,35.67977426,15.15,0.971455789027314,0.262267363076996
5.15418876,35.67977426,16.35,1.31255016665339,0.304784733506924
5.5694404,35.67977426,15.65,1.10732649240736,0.280998891544204
5.98469203,35.67977426,15.35,1.02467715537157,0.269902795502208
6.39994366,35.67977426,15.65,1.10732649240736,0.280998891544204
6.81519529,35.67977426,15.05,0.945422075560686,0.258387432061635
7.23044692,35.67977426,15.05,0.945422075560686,0.258387432061635
7.64569855,35.67977426,15.55,1.0794075933188,0.277351925037639
8.06095019,35.67977426,16.95,1.50080082876574,0.322159658006083
8.47620182,35.67977426,15.7500000000001,1.13560737166834,0.284589957599838
8.89145345,35.67977426,15.35,1.02467715537157,0.269902795502208
9.30670508,35.67977426,16.95,1.50080082876574,0.322159658006083
