"Longitude","Latitude","MAT","Epsilon","MPB"
6.39994366,36.92794382,18.15,0.403898448923491,49.1600972921474
6.81519529,36.92794382,18.45,0.367230161555092,49.640812606491
7.23044692,36.92794382,18.65,0.393070072276748,49.7123357482042
7.64569855,36.92794382,18.95,0.39270865020661,49.4369464867767
8.47620182,36.92794382,18.15,0.37941975504934,48.9295553051761
8.89145345,36.92794382,17.95,0.417680499060849,48.8098395850911
9.30670508,36.92794382,18.65,0.431781518788849,48.0366770548856
9.72195671,36.92794382,18.65,0.41093689374387,49.105586888213
10.13720835,36.92794382,18.65,0.369247643653915,50.0737084878136
10.96771161,36.92794382,18.7500000000001,0.340621025258806,50.195885976969
1.41692408,36.5118873,17.65,0.405900778344493,47.762692172919
1.83217571,36.5118873,18.35,0.387390337932068,49.5190696601095
2.24742734,36.5118873,16.85,0.431763846364055,44.9941746729109
2.66267897,36.5118873,16.55,0.459724291939344,44.6366355810853
3.0779306,36.5118873,17.15,0.48897618342705,47.5022741924318
3.49318224,36.5118873,16.7500000000001,0.520546732306611,46.8835608508631
3.90843387,36.5118873,17.65,0.509735861176813,46.6967736019562
4.3236855,36.5118873,17.15,0.53107347074196,46.8638937731321
4.73893713,36.5118873,15.65,0.557134681542221,43.8946717145029
5.15418876,36.5118873,15.85,0.494042976561772,42.2981953027615
5.5694404,36.5118873,16.15,0.529569638139618,45.2454025860233
5.98469203,36.5118873,15.55,0.589289135688209,44.4411641424476
6.39994366,36.5118873,16.55,0.543615586088863,46.5944323030261
6.81519529,36.5118873,16.45,0.506407629729296,45.8092970024149
7.23044692,36.5118873,17.2500000000001,0.50545842122526,47.4235012441636
7.64569855,36.5118873,17.05,0.514644797821863,47.2468697646474
8.06095019,36.5118873,17.2500000000001,0.482922058495472,47.656043724923
8.47620182,36.5118873,17.45,0.493300039695234,47.6233139122652
8.89145345,36.5118873,17.65,0.497149790530469,47.2647637073179
9.30670508,36.5118873,18.35,0.469105487339609,46.69739745133
9.72195671,36.5118873,18.2500000000001,0.462546716849365,47.4535223237982
10.13720835,36.5118873,18.05,0.433827212105491,48.7921079571498
10.55245998,36.5118873,18.65,0.366269840076061,50.084020247878
0.58642081,36.09583078,18.65,0.416892500899579,48.8390226567366
1.00167245,36.09583078,18.2500000000001,0.474718998871713,46.7133845193962
1.41692408,36.09583078,16.55,0.563749496684745,46.4726279579102
1.83217571,36.09583078,16.65,0.560363613821775,46.5271869960965
2.24742734,36.09583078,14.05,0.687777251992485,40.3233544893096
2.66267897,36.09583078,15.45,0.643427221626494,45.0436150370046
3.0779306,36.09583078,15.45,0.643427221626494,45.0436150370046
3.49318224,36.09583078,16.2500000000001,0.622003611342166,45.4432943840902
3.90843387,36.09583078,17.15,0.608791539631028,42.6200819944143
4.3236855,36.09583078,16.65,0.63708006095214,43.369827080864
4.73893713,36.09583078,12.65,0.803406697315197,36.3324082714023
5.15418876,36.09583078,13.65,0.732343341454674,39.7340246090543
5.5694404,36.09583078,15.7500000000001,0.631171465024084,45.4675985380547
5.98469203,36.09583078,15.55,0.635717976681823,45.190661786411
6.39994366,36.09583078,15.95,0.61629332292636,45.7033513365625
6.81519529,36.09583078,14.95,0.635228246174816,43.1741229741936
7.23044692,36.09583078,15.7500000000001,0.599436586894378,45.3152165005977
7.64569855,36.09583078,15.55,0.610717831531413,44.9088187047103
8.06095019,36.09583078,16.65,0.573705604627054,46.2443013710166
8.47620182,36.09583078,17.05,0.560246235603547,45.9728941199867
8.89145345,36.09583078,16.85,0.553712413657721,46.5597019035582
9.30670508,36.09583078,16.95,0.530786899691484,46.9958090221639
9.72195671,36.09583078,18.2500000000001,0.471675928366125,46.9084866793646
10.13720835,36.09583078,18.35,0.450946565249044,47.8079283595208
-5.64235366,35.67977426,16.95,0.347305008440112,40.7447581694569
-5.22710203,35.67977426,17.05,0.299666591136781,38.1638880601596
-0.65933408,35.67977426,18.85,0.353545061391912,50.4793255716368
-0.24408245,35.67977426,18.85,0.388899567531104,49.7372375371261
0.17116918,35.67977426,17.85,0.472911909383804,47.8556618363565
0.58642081,35.67977426,18.85,0.480232041724014,43.2396537786806
1.00167245,35.67977426,17.85,0.541359685741984,43.7742599280267
1.41692408,35.67977426,16.15,0.61553873524021,45.7160904885207
1.83217571,35.67977426,15.65,0.65649628079816,45.2249847170843
2.24742734,35.67977426,14.65,0.724053448112839,43.9768769006324
2.66267897,35.67977426,16.85,0.649293723158158,41.4622886659441
3.0779306,35.67977426,16.2500000000001,0.676685247504118,42.9580768371331
3.49318224,35.67977426,16.55,0.667774701430145,41.9197961203786
3.90843387,35.67977426,17.65,0.632450049978636,38.1816643513616
4.3236855,35.67977426,17.65,0.638743085301804,37.7940880088169
4.73893713,35.67977426,15.15,0.729483254697622,44.3291388758105
5.15418876,35.67977426,16.35,0.675943199306967,42.4901364867178
5.5694404,35.67977426,15.65,0.677788052067293,44.8510377404265
5.98469203,35.67977426,15.35,0.665708844154021,44.960281467828
6.39994366,35.67977426,15.65,0.645850395163599,45.3170996988936
6.81519529,35.67977426,15.05,0.675288685783209,44.4268388020778
7.23044692,35.67977426,15.05,0.667908481566995,44.3263476154216
7.64569855,35.67977426,15.55,0.642860875296226,45.2149164403085
8.06095019,35.67977426,16.95,0.586486759535653,45.0072197955834
8.47620182,35.67977426,15.7500000000001,0.620593172314179,45.4754137585315
8.89145345,35.67977426,15.35,0.6186750671214,44.3903062060293
9.30670508,35.67977426,16.95,0.547169211410362,46.6320377553127
9.72195671,35.67977426,19.05,0.466444402956259,43.32756488598
