"Longitude","Latitude","MAT","R_not","Rate_of_increase"
6.39994366,36.92794382,18.15,1.19466414585632,0.29170475362994
6.81519529,36.92794382,18.45,1.28395521493113,0.303454819050586
7.23044692,36.92794382,18.65,1.3454029337825,0.310947468717959
7.64569855,36.92794382,18.95,1.44030511652997,0.321572313499718
8.47620182,36.92794382,18.15,1.19466414585632,0.29170475362994
8.89145345,36.92794382,17.95,1.13712982744236,0.283588182270478
9.30670508,36.92794382,18.65,1.3454029337825,0.310947468717959
9.72195671,36.92794382,18.65,1.3454029337825,0.310947468717959
10.13720835,36.92794382,18.65,1.3454029337825,0.310947468717959
10.96771161,36.92794382,18.7500000000001,1.37668118736775,0.314576245386004
1.41692408,36.5118873,17.65,1.05391855523611,0.271082448377591
1.83217571,36.5118873,18.35,1.25380072992513,0.299601253417325
2.24742734,36.5118873,16.85,0.850770320434663,0.236611429199618
2.66267897,36.5118873,16.55,0.781745304392587,0.223562282103407
3.0779306,36.5118873,17.15,0.923711140721027,0.249648684502723
3.49318224,36.5118873,16.7500000000001,0.827326837126813,0.2322584746195
3.90843387,36.5118873,17.65,1.05391855523611,0.271082448377591
4.3236855,36.5118873,17.15,0.923711140721027,0.249648684502723
4.73893713,36.5118873,15.65,0.597941158419962,0.18518688041369
5.15418876,36.5118873,15.85,0.635811821676647,0.193549920396441
5.5694404,36.5118873,16.15,0.695782215216632,0.206296965316044
5.98469203,36.5118873,15.55,0.579630009516081,0.181052835640516
6.39994366,36.5118873,16.55,0.781745304392587,0.223562282103407
6.81519529,36.5118873,16.45,0.759606169183896,0.219225506165044
7.23044692,36.5118873,17.2500000000001,0.948892684126602,0.253975203479144
7.64569855,36.5118873,17.05,0.898962947282312,0.245310089297401
8.06095019,36.5118873,17.2500000000001,0.948892684126602,0.253975203479144
8.47620182,36.5118873,17.45,1.00054984857051,0.262576611231857
8.89145345,36.5118873,17.65,1.05391855523611,0.271082448377591
9.30670508,36.5118873,18.35,1.25380072992513,0.299601253417325
9.72195671,36.5118873,18.2500000000001,1.22403496430765,0.295682920703481
10.13720835,36.5118873,18.05,1.16569401364841,0.287671592380523
10.55245998,36.5118873,18.65,1.3454029337825,0.310947468717959
0.58642081,36.09583078,18.65,1.3454029337825,0.310947468717959
1.00167245,36.09583078,18.2500000000001,1.22403496430765,0.295682920703481
1.41692408,36.09583078,16.55,0.781745304392587,0.223562282103407
1.83217571,36.09583078,16.65,0.804318625560391,0.227907663907789
2.24742734,36.09583078,14.05,0.352064134853732,0.124137272294878
2.66267897,36.09583078,15.45,0.561730591267441,0.176953301900262
3.0779306,36.09583078,15.45,0.561730591267441,0.176953301900262
3.49318224,36.09583078,16.2500000000001,0.71662608821083,0.210589940152776
3.90843387,36.09583078,17.15,0.923711140721027,0.249648684502723
4.3236855,36.09583078,16.65,0.804318625560391,0.227907663907789
4.73893713,36.09583078,12.65,0.209219646292791,0.0818303662122877
5.15418876,36.09583078,13.65,0.305090425803488,0.110899639207962
5.5694404,36.09583078,15.7500000000001,0.616667385625036,0.189353316137901
5.98469203,36.09583078,15.55,0.579630009516081,0.181052835640516
6.39994366,36.09583078,15.95,0.655377369733937,0.197774367521886
6.81519529,36.09583078,14.95,0.478278369321869,0.157040473097725
7.23044692,36.09583078,15.7500000000001,0.616667385625036,0.189353316137901
7.64569855,36.09583078,15.55,0.579630009516081,0.181052835640516
8.06095019,36.09583078,16.65,0.804318625560391,0.227907663907789
8.47620182,36.09583078,17.05,0.898962947282312,0.245310089297401
8.89145345,36.09583078,16.85,0.850770320434663,0.236611429199618
9.30670508,36.09583078,16.95,0.874649122916483,0.240963134501282
9.72195671,36.09583078,18.2500000000001,1.22403496430765,0.295682920703481
10.13720835,36.09583078,18.35,1.25380072992513,0.299601253417325
-5.64235366,35.67977426,16.95,0.874649122916483,0.240963134501282
-5.22710203,35.67977426,17.05,0.898962947282312,0.245310089297401
-0.65933408,35.67977426,18.85,1.40831818279248,0.318119646125492
-0.24408245,35.67977426,18.85,1.40831818279248,0.318119646125492
0.17116918,35.67977426,17.85,1.10897637726409,0.279459171637075
0.58642081,35.67977426,18.85,1.40831818279248,0.318119646125492
1.00167245,35.67977426,17.85,1.10897637726409,0.279459171637075
1.41692408,35.67977426,16.15,0.695782215216632,0.206296965316044
1.83217571,35.67977426,15.65,0.597941158419962,0.18518688041369
2.24742734,35.67977426,14.65,0.43289215043121,0.145620947258895
2.66267897,35.67977426,16.85,0.850770320434663,0.236611429199618
3.0779306,35.67977426,16.2500000000001,0.71662608821083,0.210589940152776
3.49318224,35.67977426,16.55,0.781745304392587,0.223562282103407
3.90843387,35.67977426,17.65,1.05391855523611,0.271082448377591
4.3236855,35.67977426,17.65,1.05391855523611,0.271082448377591
4.73893713,35.67977426,15.15,0.510466200625482,0.164881454545185
5.15418876,35.67977426,16.35,0.737900203202855,0.214900405082208
5.5694404,35.67977426,15.65,0.597941158419962,0.18518688041369
5.98469203,35.67977426,15.35,0.54423934911326,0.17289029793921
6.39994366,35.67977426,15.65,0.597941158419962,0.18518688041369
6.81519529,35.67977426,15.05,0.494176240720068,0.160939156390594
7.23044692,35.67977426,15.05,0.494176240720068,0.160939156390594
7.64569855,35.67977426,15.55,0.579630009516081,0.181052835640516
8.06095019,35.67977426,16.95,0.874649122916483,0.240963134501282
8.47620182,35.67977426,15.7500000000001,0.616667385625036,0.189353316137901
8.89145345,35.67977426,15.35,0.54423934911326,0.17289029793921
9.30670508,35.67977426,16.95,0.874649122916483,0.240963134501282
